DATAFLOW,LAST UPDATE,freq,unit,age,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Albania,2017,60.3,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Albania,2018,55.7,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Albania,2019,52.8,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Albania,2020,48.1,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Albania,2021,48.7,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Albania,2022,46.4,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Albania,2023,44.0,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Austria,2015,17.4,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Austria,2016,18.1,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Austria,2017,18.3,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Austria,2018,17.7,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Austria,2019,17.6,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Austria,2020,17.1,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Austria,2021,18.1,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Austria,2022,18.2,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Austria,2023,18.7,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Austria,2024,18.1,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Belgium,2015,22.8,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Belgium,2016,24.1,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Belgium,2017,23.7,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Belgium,2018,21.7,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Belgium,2019,20.7,b,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Belgium,2020,20.9,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Belgium,2021,19.7,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Belgium,2022,19.3,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Belgium,2023,19.5,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Belgium,2024,18.9,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Bulgaria,2015,45.6,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Bulgaria,2016,43.2,b,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Bulgaria,2017,40.4,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Bulgaria,2018,35.5,,
ESTAT:ILC_PEPS01N(1.0),14/11/25 23:00:00,Annual,Percentage,Total,Females,Bulgaria,2019,35.3,,
